,home,away,home_points,away_points
287,Los Angeles Lakers,Sacramento Kings,106,100
288,Denver Nuggets,Philadelphia 76ers,103,92
289,Cleveland Cavaliers,Los Angeles Clippers,88,82
290,Detroit Pistons,Chicago Bulls,92,75
291,Golden State Warriors,Memphis Grizzlies,108,82
292,Miami Heat,Minnesota Timberwolves,103,82
293,Brooklyn Nets,Milwaukee Bucks,90,82
294,Indiana Pacers,San Antonio Spurs,111,100
295,Sacramento Kings,Utah Jazz,112,102
296,Dallas Mavericks,Portland Trail Blazers,108,106
297,Boston Celtics,New York Knicks,114,73
298,Miami Heat,Detroit Pistons,110,95
299,Houston Rockets,Orlando Magic,98,88
300,Oklahoma City Thunder,Indiana Pacers,118,94
301,Toronto Raptors,Los Angeles Lakers,106,94
302,Charlotte Bobcats,Golden State Warriors,115,111
303,Los Angeles Clippers,Philadelphia 76ers,94,83
304,Denver Nuggets,Washington Wizards,75,74
305,Memphis Grizzlies,Orlando Magic,94,85
306,Portland Trail Blazers,Utah Jazz,105,94
307,Sacramento Kings,Dallas Mavericks,112,97
308,Cleveland Cavaliers,New York Knicks,109,94
309,Indiana Pacers,Miami Heat,90,84
310,San Antonio Spurs,Toronto Raptors,116,103
311,Oklahoma City Thunder,Atlanta Hawks,101,92
312,Brooklyn Nets,Boston Celtics,104,96
313,Minnesota Timberwolves,Detroit Pistons,121,94
314,Milwaukee Bucks,Chicago Bulls,78,74
315,Phoenix Suns,Los Angeles Lakers,114,108
316,Orlando Magic,Charlotte Bobcats,92,83
317,Los Angeles Clippers,Boston Celtics,96,88
318,Oklahoma City Thunder,Memphis Grizzlies,116,100
319,San Antonio Spurs,Milwaukee Bucks,109,77
320,Minnesota Timberwolves,Philadelphia 76ers,106,99
321,New Orleans Pelicans,Detroit Pistons,111,106
322,New York Knicks,Chicago Bulls,83,78
323,Utah Jazz,Sacramento Kings,122,101
324,Golden State Warriors,Dallas Mavericks,95,93
325,Brooklyn Nets,Los Angeles Clippers,102,93
326,Portland Trail Blazers,Houston Rockets,111,104
327,Indiana Pacers,Charlotte Bobcats,99,94
328,Cleveland Cavaliers,Orlando Magic,109,100
329,Toronto Raptors,Philadelphia 76ers,108,100
330,Atlanta Hawks,Washington Wizards,101,99
331,Boston Celtics,New York Knicks,90,86
332,Detroit Pistons,Brooklyn Nets,103,99
333,New Orleans Pelicans,Memphis Grizzlies,104,98
334,Oklahoma City Thunder,Los Angeles Lakers,122,97
335,Chicago Bulls,Milwaukee Bucks,91,90
336,San Antonio Spurs,Minnesota Timberwolves,117,110
337,Utah Jazz,Denver Nuggets,103,93
338,Phoenix Suns,Sacramento Kings,116,107
339,Houston Rockets,Golden State Warriors,116,112
340,Los Angeles Lakers,Charlotte Bobcats,88,85
341,Los Angeles Clippers,Washington Wizards,113,97
